LSI,DEVICE NAME,LOOPBACK IP,WAN IP,LINK STATE,CPU UTILIZATION,MEMORY UTILIZATION,TEMPERATURE,DUPLEX,IN ERROR RATE,IN DISCARD RATE,UTILIZATION,LINK STATUS CODE
500151967,ECLT-HSN123-RTR15791,172.46.232.99,172.46.255.194,UP,3,8.940827818,,3,0,0,3.128809333,111
500035566,ECLT-TCN113-RTR16633,172.45.253.225,172.45.133.158,UP,3,8.924272104,,3,0,0,0.770637333,111
500122969,ECLT-PUN1236-RTR15588,172.46.63.145,172.46.237.138,UP,17,14.27021148,,,0,0,0,111
500151980,ECLT-SMO108-RTR15748,172.46.232.49,172.46.250.138,UP,5,22.25459539,,3,0,0,3.705942857,111
13419283,ECLT-VJW137-RTR5401,172.42.72.35,172.42.91.22,UP,5,21.3357074,,3,0,0,0.004624585,111
13470013,ECLT-MUM109-RTR5169,172.42.84.212,172.42.82.14,UP,10,21.7772075,,3,0,0,7.205396678,111
13776519,ECLT-PUN269-RTR7172,172.42.202.74,172.42.215.210,UP,5,21.32662259,,3,0,0,2.243431229,111
13645222,ECLT-TPT135-RTR6596,172.37.185.10,172.37.149.6,UP,5,21.53058353,,3,0,0,8.246479734,111
500063578,ECLT-CHN1698-RTR17125,172.46.200.247,172.46.236.126,UP,3,8.401732461,,3,0,0,8.239319601,111
500054948,ECLT-AMD187-RTR13966,172.46.88.38,172.46.201.178,UP,4,9.148654081,,3,0,0,0.0037701,111
500151962,ECLT-HSN128-RTR15824,172.46.232.67,172.46.255.78,DOWN,3,8.893183156,,1,,,,122
13894314,ECLT-ANP110-RTR7967,172.42.223.83,172.42.228.22,UP,5,23.55845456,,3,0,0,0.090118272,111
13893260,ECLT-HYD1000-RTR8389,172.40.205.105,172.40.233.98,UP,7,23.05144485,,3,0,0,0.046631229,111
500054675,ECLT-MUM1578-RTR15786,172.46.186.103,172.46.181.190,UP,3,8.524551678,,3,0,0,0.003652,111
500054805,ECLT-MUM1539-RTR15471,172.46.213.196,172.46.226.70,UP,4,8.98008658,,3,0,0,0.004966113,111
13726483,ECLT-KOG104-RTR7120,172.43.13.138,172.42.199.74,UP,5,23.07387923,,3,0,0,0.004334667,111
500064837,ECLT-TCY130-RTR15763,172.46.87.90,172.46.98.190,UP,3,8.974145619,,3,0,0,2.04747907,111
13892842,ECLT-HYD1087-RTR8646,172.42.229.79,172.42.227.34,UP,8,23.16776936,,3,0,0,0.049444,111
500046336,ECLT-BLR1592-RTR15821,172.46.214.55,172.46.219.162,UP,3,8.881331529,,3,0,0,0.010536,111
500062848,ECLT-PUN1334-RTR16949,172.46.156.120,172.46.154.170,UP,3,8.886249736,,3,0,0,0.003532226,111
14468396,ECLT-TZP106-RTR15153,172.46.138.46,172.46.140.122,UP,5,22.44137335,,3,0,0,1.384162667,111
13572330,ECLT-BLR740-RTR6093,172.42.149.133,172.42.151.58,UP,5,21.63721439,,3,0,0,0.970968,111
500062647,ECLT-CHN1548-RTR16113,172.46.214.103,172.46.239.90,UP,3,8.88091464,,3,0,0,0.151034667,111
14349856,ECLT-ASN104-RTR6745,172.43.13.57,172.43.5.166,UP,5,23.3060143,,3,0,0,0.100677741,111
13677701,ECLT-HYD111-RTR9211,172.38.245.127,172.37.111.118,UP,6,21.58803926,,3,0,0,5.45567309,111
500043772,ECLT-PUN600-RTR11186,172.46.50.133,172.46.55.18,UP,5,20.69357535,,3,0,0,0.008688372,111
13726296,ECLT-KOL216-RTR7254,172.42.195.37,172.42.194.134,UP,5,21.65684932,,3,0,0,0.004831894,111
500054916,ECLT-MUM1602-RTR16022,172.46.169.13,172.46.180.190,UP,6,22.65939014,,3,0,0,0.004882667,111
13420289,ECLT-VJW131-RTR5201,172.42.72.135,172.42.76.198,UP,5,22.04157298,,3,0,0,6.571141528,111
13725813,ECLT-BDN196-RTR7187,172.38.150.120,172.40.88.122,UP,5,23.06993823,,3,0,0,2.277021333,111
500151972,ECLT-MYS128-RTR15837,172.46.232.55,172.46.255.54,UP,3,11.0616087,,3,0,0,0.279265333,111
500054561,ECLT-AMD243-RTR15550,172.46.162.37,172.46.159.194,UP,6,21.36061547,,3,0,0,0.024680399,111
13433097,ECLT-HYD145-RTR9245,172.42.119.254,172.42.77.34,UP,5,21.67413038,,3,0,0,19.755008,111
13892513,ECLT-VJW263-RTR8471,172.43.75.255,172.43.76.86,UP,5,23.1710869,,3,0,0,4.4382,111
500046497,ECLT-DWS179-RTR13057,172.46.14.153,172.46.25.26,UP,5,20.83077162,,3,0,0,0.58564,111
500043866,ECLT-PUN512-RTR10920,172.46.50.252,172.46.61.138,UP,5,22.13061674,,3,0,0,0.007088,111
13728600,ECLT-KHP171-RTR7397,172.43.25.138,172.38.146.58,UP,5,23.09389032,,2,0,0,0.004914667,111
13894382,ECLT-HYD1167-RTR8852,172.42.223.253,172.42.225.218,UP,6,23.08427522,,3,0,0,0.048624,111
13769479,ECLT-BLR791-RTR6848,172.43.20.115,172.43.27.90,UP,6,22.94484124,,3,0,0,35.72010897,111
13572291,ECLT-NND102-RTR5801,172.42.154.32,172.42.157.202,UP,5,21.49694325,,3,0,0,0.019359468,111
500052496,ECLT-AMR223-RTR16147,172.46.32.87,172.46.67.194,UP,3,8.971365375,,3,0,0,6.842952,111
13381421,ECLT-BLR475-RTR4740,172.42.44.107,172.42.50.94,UP,5,29.08994368,,3,0,0,8.163024,111
500064521,ECLT-BPL204-RTR14327,172.46.87.35,172.46.94.170,UP,3,8.964488353,,3,0,0,0.166082667,111
13874016,ECLT-KOL240-RTR7584,172.42.218.146,172.42.219.250,UP,5,23.0293921,,3,0,0,0.007308,111
13873622,ECLT-KOL240-RTR7584,172.42.218.146,172.38.128.22,UP,5,23.0293921,,3,0,0,1.350434667,111
13769490,ECLT-TMU101-RTR6931,172.43.20.217,172.43.26.106,UP,5,22.71336342,,3,0,0,0.817418667,111
13572407,ECLT-PUN228-RTR5820,172.35.61.197,172.42.151.122,UP,6,29.52612981,,3,0,0,3.388501333,111
13757249,ECLT-CHN767-RTR6794,172.42.202.99,172.42.208.222,UP,5,22.62624204,,3,0,0,0.014265781,111
500063073,ECLT-PUN1263-RTR15895,172.46.134.186,172.46.142.118,UP,3,8.880041579,,3,0,0,0.003554817,111
500151969,ECLT-HSN135-RTR15869,172.46.232.68,172.46.255.82,UP,3,8.982635544,,3,0,0,0.595766557,111
14009743,ECLT-KOL353-RTR8988,172.43.142.41,172.43.141.110,UP,5,23.30587828,,3,0,0,0.467603987,111
13419252,ECLT-RED543-RTR9634,172.42.99.44,172.42.159.94,UP,5,21.53569926,,3,0,0,9.057827243,111
500063251,ECLT-CHN1547-RTR16106,172.46.211.237,172.46.222.202,UP,3,8.96819125,,3,0,0,0.752390667,111
500064882,ECLT-ERD134-RTR16174,172.46.116.128,172.46.122.62,UP,3,8.960676446,,3,0,0,0.762896,111
